DATE,PCPI36005
1969-01-01,3632
1970-01-01,3839
1971-01-01,3999
1972-01-01,4199
1973-01-01,4497
1974-01-01,4894
1975-01-01,5373
1976-01-01,5633
1977-01-01,6069
1978-01-01,6615
1979-01-01,7224
1980-01-01,8127
1981-01-01,9062
1982-01-01,9825
1983-01-01,10387
1984-01-01,11282
1985-01-01,11815
1986-01-01,12367
1987-01-01,12741
1988-01-01,13526
1989-01-01,14480
1990-01-01,15643
1991-01-01,15801
1992-01-01,16119
1993-01-01,16341
1994-01-01,16759
1995-01-01,17223
1996-01-01,17631
1997-01-01,17953
1998-01-01,18356
1999-01-01,18978
2000-01-01,20121
2001-01-01,21664
2002-01-01,22020
2003-01-01,22745
2004-01-01,24111
2005-01-01,24546
2006-01-01,26288
2007-01-01,28263
2008-01-01,28284
2009-01-01,28825
2010-01-01,29901
2011-01-01,30546
2012-01-01,30537
2013-01-01,30827
2014-01-01,31833
2015-01-01,33162
2016-01-01,33794
2017-01-01,36140
2018-01-01,37459
2019-01-01,39711
