DATE,PCPI36047
1969-01-01,3850
1970-01-01,4129
1971-01-01,4336
1972-01-01,4674
1973-01-01,5000
1974-01-01,5392
1975-01-01,5865
1976-01-01,6169
1977-01-01,6646
1978-01-01,7231
1979-01-01,7799
1980-01-01,8622
1981-01-01,9649
1982-01-01,10465
1983-01-01,11221
1984-01-01,12298
1985-01-01,12965
1986-01-01,13753
1987-01-01,14459
1988-01-01,15569
1989-01-01,16853
1990-01-01,18339
1991-01-01,18326
1992-01-01,18867
1993-01-01,19195
1994-01-01,19593
1995-01-01,20500
1996-01-01,21315
1997-01-01,21815
1998-01-01,22626
1999-01-01,23885
2000-01-01,25235
2001-01-01,26091
2002-01-01,26190
2003-01-01,26647
2004-01-01,28473
2005-01-01,29057
2006-01-01,30989
2007-01-01,33183
2008-01-01,34363
2009-01-01,34323
2010-01-01,35758
2011-01-01,37598
2012-01-01,38697
2013-01-01,39690
2014-01-01,41637
2015-01-01,44338
2016-01-01,46272
2017-01-01,50268
2018-01-01,53346
2019-01-01,56080
