DATE,USPCPI
1/1/1929,700
1/1/1930,621
1/1/1931,529
1/1/1932,403
1/1/1933,376
1/1/1934,428
1/1/1935,478
1/1/1936,540
1/1/1937,579
1/1/1938,532
1/1/1939,562
1/1/1940,601
1/1/1941,734
1/1/1942,940
1/1/1943,1142
1/1/1944,1226
1/1/1945,1256
1/1/1946,1291
1/1/1947,1349
1/1/1948,1456
1/1/1949,1415
1/1/1950,1541
1/1/1951,1713
1/1/1952,1800
1/1/1953,1875
1/1/1954,1861
1/1/1955,1961
1/1/1956,2068
1/1/1957,2149
1/1/1958,2176
1/1/1959,2274
1/1/1960,2335
1/1/1961,2398
1/1/1962,2513
1/1/1963,2603
1/1/1964,2752
1/1/1965,2936
1/1/1966,3155
1/1/1967,3350
1/1/1968,3641
1/1/1969,3948
1/1/1970,4218
1/1/1971,4491
1/1/1972,4880
1/1/1973,5383
1/1/1974,5852
1/1/1975,6340
1/1/1976,6890
1/1/1977,7532
1/1/1978,8371
1/1/1979,9252
1/1/1980,10204
1/1/1981,11326
1/1/1982,12021
1/1/1983,12721
1/1/1984,13929
1/1/1985,14779
1/1/1986,15510
1/1/1987,16313
1/1/1988,17479
1/1/1989,18698
1/1/1990,19641
1/1/1991,20056
1/1/1992,21099
1/1/1993,21738
1/1/1994,22574
1/1/1995,23600
1/1/1996,24762
1/1/1997,25984
1/1/1998,27545
1/1/1999,28647
1/1/2000,30640
1/1/2001,31574
1/1/2002,31807
1/1/2003,32645
1/1/2004,34219
1/1/2005,35806
1/1/2006,38089
1/1/2007,39801
1/1/2008,40855
1/1/2009,39250
1/1/2010,40518
1/1/2011,42713
1/1/2012,44588
1/1/2013,44826
1/1/2014,47050
1/1/2015,48998
1/1/2016,50004
1/1/2017,52114
1/1/2018,54601
1/1/2019,56469
1/1/2020,59643
